PGName2,PGName2_Class,
CS-F,OTHERS,
Distance Learning,NOT APPLICABLE,
EGMP,NOT APPLICABLE,
EMDBA-PT,NOT APPLICABLE,
EPGDHRM-PT,NOT APPLICABLE,
EPGDM,NOT APPLICABLE,
EPGP,MANAGEMENT,
EPGPBM-PT,NOT APPLICABLE,
EPMI,UNKNOWN,
Full Time,UNKNOWN,
GMBADMIN,UNKNOWN,
ICWA,COMMERCE,
L.L.B,OTHERS,
LLB-PT,NOT APPLICABLE,
LLM-FT,OTHERS,
M.C.A,IT,
MABM,MANAGEMENT,
MAE-F,UNKNOWN,
MAE-PT,NOT APPLICABLE,
MA-FT,ARTS,
MAMM-FT,MANAGEMENT,
MA-PT,NOT APPLICABLE,
MASTER IN,UNKNOWN,
MASTER OF,UNKNOWN,
Master of Arts,ARTS,
Master of Business Admin,MBA,
MBA - Finance,MBA,
MBA-CC,MBA,
MBA-F,MBA,
MBA-PT,MBA,
MBE,MBA,
MBE-F,MBA,
MBM,MBA,
MCA-CC,IT,
MCA-F,IT,
MCA-PT,IT,
MCOM-FT,COMMERCE,
ME,ENGINEERING,
MEC,UNKNOWN,
MFA,ARTS,MASTER OF FINE ARTS
MFAC,COMMERCE,
MFC,COMMERCE,MASTER OF FINANCE AND CONTROL
MFC-F,COMMERCE,
MHR,OTHERS,
MHRM,MANAGEMENT,
MIRPM-FT,MANAGEMENT,
MIS,IT,
MMEM,MANAGEMENT,
MMGT-FT,MANAGEMENT,MASTER OF MANAGEMENT
MMGT-PT,NOT APPLICABLE,
MMM-F,MANAGEMENT,
MMS,MANAGEMENT,MASTER OF MANAGEMENT STUDIES
MMS-F,MANAGEMENT,
MPA,OTHERS,MASTERS IN PUBLIC ADMINISTRATION
MPEE,ENGINEERING,MASTER PROGRAM IN ELECTRICAL ENGINEERING
MPM,MANAGEMENT,MASTERS IN PERSONNEL MANAGEMENT
MS,SCIENCE,
MSC-F,SCIENCE,
MSC-PT,SCIENCE,
MSF-F,COMMERCE,
MSF-PT,NOT APPLICABLE,
MSMKTG-FT,MANAGEMENT,
MSO-FT,ARTS,
MSW,ARTS,MASTERS IN SOCIAL WORK
MSW-FT,ARTS,
MTECH-FT,ENGINEERING,
MTECH-PT,NOT APPLICABLE,
Part Time,UNKNOWN,
PG (Busine,UNKNOWN,
PGCMI,SCIENCE,POST GRADUATE CERTIFICATE IN MEDICAL INFORMATICS
PGD IN BAN,UNKNOWN,
PGD IN COMPUTER APPLICATION-FULL TIME,IT,
PGD IN FIN,IT,
PGDBA-F,MANAGEMENT,
PGDBA-PT,NOT APPLICABLE,
PGDBFM-FT,MANAGEMENT,
PGDBFM-PT,NOT APPLICABLE,
PGDBFS-FT,COMMERCE,
PGDBFSI-FT,COMMERCE,
PGDBM-F,MANAGEMENT,
PGDBM-PT,NOT APPLICABLE,
PGDBO-CC,COMMERCE,
PGDBO-F,COMMERCE,
PGDBOM,UNKNOWN,
PGDCA,IT,
PGDCAA-FT,IT,
PGDCAM,MANAGEMENT,
PGDCA-PT,NOT APPLICABLE,
PGDCAQA-PT,NOT APPLICABLE,
PGDCHE,UNKNOWN,
PGDCIRPM,UNKNOWN,
PGDCM,MANAGEMENT,
PGDCMSM,UNKNOWN,
PGDCPA-PT,NOT APPLICABLE,
PGDCSA-FT,IT,
PGDCSA-PT,NOT APPLICABLE,
PGDEDP-FT,IT,
PGDFC,COMMERCE,
PGDFM-FT,COMMERCE,
PGDFP,COMMERCE,
PGDFSM,OTHERS,
PGDGBM,UNKNOWN,
PGDIB-PT,NOT APPLICABLE,
PGDIFA-FT,COMMERCE,
PGDIFS,COMMERCE,
PGDIIM,UNKNOWN,
PGDINTM,UNKNOWN,
PGDIPM-PT,NOT APPLICABLE,
PGDLLPM-FT,OTHERS,
PGDLSCM,MANAGEMENT,
PGDM,MANAGEMENT,
PGDM-F,MANAGEMENT,
PGDMISCA,MANAGEMENT,
PGDM-PT,NOT APPLICABLE,
PGDOMSP,OTHERS,
PGDPM,MANAGEMENT,
PGDPMIRLW,OTHERS,
PGDPMLL-FT,UNKNOWN,
PGDPRJ-PT,NOT APPLICABLE,
PGDRM-F,MANAGEMENT,
PGDSD,IT,
PGDSM-FT,MANAGEMENT,
PGDSM-PT,NOT APPLICABLE,
PGP-F,MANAGEMENT,
PGPFM-FT,COMMERCE,
PGP-HRM,MANAGEMENT,
PGPIT,IT,
PGPM-F,MANAGEMENT,
PGPMSM-FT,MANAGEMENT,
PGPRM,MANAGEMENT,
PHD-F,COMMERCE,
POST GRADU,UNKNOWN,
POST GRADUATE CERTIFICATE IN MANAGEMENT-FULL TIME,MANAGEMENT,
POST GRADUATE DIPLOMA IN BUSINESS MANAGEMENT PROGRAMME-FULL TIME,MANAGEMENT,
PRM,UNKNOWN,
